127.0.0.1 - - [15/Feb/2024:15:08:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:09:00 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8475
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:09:01 +0530] "GET /Hospital_Portal/image/doc3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:09:01 +0530] "GET /Hospital_Portal/image/doc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:09:01 +0530] "GET /Hospital_Portal/image/hos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:09:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:08 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8475
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:28 +0530] "GET /Hospital_Portal/Admin_Login.jsp HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:28 +0530] "GET /Hospital_Portal/Admin_Login.jsp HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:28 +0530] "GET /Hospital_Portal/Admin_Login.jsp HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:28 +0530] "GET /Hospital_Portal/Admin_Login.jsp HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:33 +0530] "GET /Hospital_Portal/User-Login.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:38 +0530] "GET /Hospital_Portal/Docture_Login.jsp HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:44 +0530] "GET /Hospital_Portal/Admin_Login.jsp HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:11:47 +0530] "GET /Hospital_Portal/User-Login.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:16:31 +0530] "GET /Hospital_Portal/Docture_Login.jsp HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:16:35 +0530] "GET /Hospital_Portal/Admin_Login.jsp HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:16:43 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8475
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:16:49 +0530] "GET /Hospital_Portal/User-Login.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:17:54 +0530] "GET /Hospital_Portal/User-Login.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:17:59 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8475
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:18:04 +0530] "GET /Hospital_Portal/User_Login.jsp HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:19:18 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:20:09 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:20:12 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:20:13 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:20:14 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:20:14 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:20:15 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:20:43 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7757
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:21:11 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7757
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:21:14 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7757
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:21:27 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7622
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:22:00 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7622
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:22:09 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:23:09 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:23:12 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:23:12 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:23:13 +0530] "GET /Hospital_Portal/index.jsp HTTP/1.1" 200 7625
